key,location,latitude,longitude
Eddard_Stark-1,Winterfell,,
Eddard_Stark-1,Execution_Holdfast,,
Eddard_Stark-2,Winterfell,,
Eddard_Stark-2,,64.6991,-124.8632
Eddard_Stark-2,,57.9848,-122.4023
Eddard_Stark-3,,57.9848,-122.4023
Eddard_Stark-3,,44.59,-122.4023
Eddard_Stark-3,,41.0462,-120.5566
Eddard_Stark-3,,36.1733,-122.0507
Eddard_Stark-3,,33.87,-121.5234
Eddard_Stark-3,,26.4312,-114.1406
Eddard_Stark-4,,26.4312,-114.1406
Eddard_Stark-4,Darry,,
Eddard_Stark-4,,16.0669,-109.5263
Eddard_Stark-4,Hayford,,
Eddard_Stark-4,King%27s_Landing,,
Catelyn_Stark-1,Winterfell,,
Catelyn_Stark-1,,64.1489,-117.041
Catelyn_Stark-1,White_Harbor,,
Catelyn_Stark-1,,50.0359,-110.7128
Catelyn_Stark-1,,49.2964,-78.9843
Catelyn_Stark-1,,20.6739,-77.666
Catelyn_Stark-1,,10.7901,-94.3652
Catelyn_Stark-1,,1.3621,-97.3535
Catelyn_Stark-1,King%27s_Landing,,
Catelyn_Stark-2,King%27s_Landing,,
Catelyn_Stark-2,,13.1115,-108.8671
Catelyn_Stark-3,,13.1115,-108.8671
Catelyn_Stark-3,Crossroads_Inn,,
Catelyn_Stark-4,Crossroads_Inn,,
Catelyn_Stark-4,,25.1651,-110.2294
Catelyn_Stark-4,,25.2446,-106.0107
Catelyn_Stark-4,,27.4107,-104.9121
Catelyn_Stark-5,,27.4107,-104.9121
Catelyn_Stark-5,,28.2656,-103.5937
Catelyn_Stark-5,Eyrie,,
Catelyn_Stark-6,Eyrie,,
Catelyn_Stark-6,,33.578,-95.3613
Catelyn_Stark-6,Ironoaks,,
Catelyn_Stark-6,,30.6001,-90.5273
Catelyn_Stark-6,Gulltown,,
Catelyn_Stark-6,,27.3718,-84.1553
Catelyn_Stark-6,,27.7224,-78.1787
Catelyn_Stark-7,White_Harbor,,
Catelyn_Stark-7,Moat_Cailin,,
Catelyn_Stark-8,Moat_Cailin,,
Catelyn_Stark-8,,45.058,-122.4902
Catelyn_Stark-8,Twins,,
Catelyn_Stark-8a,Crossroads_Inn,,
Catelyn_Stark-8a,,25.6811,-113.5253
Catelyn_Stark-8a,,34.7777,-121.9628
Catelyn_Stark-8a,Twins,,
Catelyn_Stark-9,Twins,,
Catelyn_Stark-9,,34.7777,-125.3906
Catelyn_Stark-9,Fairmarket,,
Catelyn_Stark-9,,23.9661,-128.3642
Catelyn_Stark-10,,23.9661,-128.3642
Catelyn_Stark-10,Riverrun,,
Catelyn_Stark-11,Riverrun,,
Catelyn_Stark-11,,16.8466,-128.2031
Catelyn_Stark-11,,13.7954,-123.8085
Catelyn_Stark-11,Bitterbridge,,
Catelyn_Stark-12,Bitterbridge,,
Catelyn_Stark-12,,-10.1851,-92.6074
Catelyn_Stark-12,Storm%27s_End,,
Catelyn_Stark-13,Storm%27s_End,,
Catelyn_Stark-13,,-14.1365,-98.6718
Catelyn_Stark-13,,-9.3189,-105.7031
Catelyn_Stark-13,,-7.2316,-115.5468
Catelyn_Stark-13,Riverrun,,
Catelyn_Stark-14,Storm%27s_End,,
Catelyn_Stark-14,,-14.1365,-98.6718
Catelyn_Stark-14,,-9.3189,-105.7031
Catelyn_Stark-14,,-7.2316,-115.5468
Catelyn_Stark-14,,12.2112,-135.791
Catelyn_Stark-14,Oxcross,,
Catelyn_Stark-15,Oxcross,,
Catelyn_Stark-15,,22.106,-134.6484
Catelyn_Stark-16,,22.106,-134.6484
Catelyn_Stark-16,Harrenhal,,
Catelyn_Stark-17,Harrenhal,,
Catelyn_Stark-17,,21.6166,-122.0801
Catelyn_Stark-18,,21.6166,-122.0801
Catelyn_Stark-18,Riverrun,,
Catelyn_Stark-19,Riverrun,,
Catelyn_Stark-19,,29.1713,-122.5781
Catelyn_Stark-19,,30.921,-126.4013
Catelyn_Stark-19,,32.6578,-127.4121
Catelyn_Stark-20,,32.6578,-127.4121
Catelyn_Stark-20,Twins,,
Catelyn_Stark-21,Twins,,
Catelyn_Stark-21,Oldstones,,
Catelyn_Stark-22,Oldstones,,
Catelyn_Stark-22,BWB_Hideout,,
